principal component 1,principal component 2,target
-9.838547078891555,4.357308194411513,yellow
-4.303063501364841,5.168285447338245,yellow
-9.834981867037248,4.367579667661296,yellow
-4.712362049993038,6.137768947785615,yellow
-4.41581852595598,5.880728183949171,yellow
-9.33666337518872,4.343255530637606,yellow
-4.110806198738759,6.542944837066345,yellow
-9.414730058012688,4.626598162501338,yellow
-9.514927622106892,4.4370486692202284,yellow
-4.281667607496977,6.2407303033525885,yellow
-9.844547402904027,4.281251208630991,yellow
-4.483068625545893,6.678421297440383,yellow
-4.698842246686956,6.106515406337966,yellow
-9.813897907504856,4.3990822266468586,yellow
-4.607680632612002,6.081197970482441,yellow
-10.021010099529313,4.511558294237224,yellow
-10.386980501250811,4.097011161441438,yellow
-4.221793554068486,6.591784462519531,yellow
-9.713873172942687,4.121092896042823,yellow
-3.700514739051581,6.948429510773712,yellow
-4.33346873171245,5.656235104551161,yellow
-9.914998418942657,3.6294504401091423,yellow
-4.354245788873108,6.555636150383367,yellow
-10.21961912185408,3.78756618738511,yellow
-10.243523813461849,4.0978742971681275,yellow
-4.445648427706226,6.2931802343587275,yellow
-10.041406276482675,4.064375832189386,yellow
-4.325471675976758,5.313195421029989,yellow
-5.22269554731935,6.01049903876302,yellow
-9.869261535496241,4.0714792328744815,yellow
-4.534359087686448,6.210184748792248,yellow
-10.003247366787871,4.005167445931095,yellow
-9.993925284603964,4.398604484213319,yellow
-4.330896202119137,5.459439979516662,yellow
-9.945699404129922,4.350938136786398,yellow
-4.695035105590582,6.01342730132958,yellow
-4.5490265184394625,6.539255498927696,yellow
-10.292890726782666,3.853324825349225,yellow
-4.924681396678512,5.628243599794224,yellow
-10.473116778489926,3.4815239695316937,yellow
-10.795468483346951,3.9459632496034955,yellow
-5.054380412862315,5.41878053447237,yellow
-12.286817613716043,3.9982097673195973,yellow
-6.66384043286504,5.545657584369201,yellow
-7.139261121550581,5.294663925366384,yellow
-11.253580959668602,3.87790320302954,yellow
-6.063416906875283,5.719778796022508,yellow
-11.141654074584318,3.82451285209883,yellow
-10.95835781732439,3.701720597299901,yellow
-6.002505697313645,5.158618961684245,yellow
-11.056663772010447,3.6870027529762783,yellow
-6.232986670585589,4.369890397873811,yellow
-5.956985601716548,5.868867099020471,yellow
